date,interval_index,interval_start,interval_end,price_yuan_per_kwh,actual_net_load_kwh,forecast_center_kwh,forecast_risk_kwh,original_plan_kwh,accepted_plan_kwh,used_plan_kwh,emergency_kwh,charge_kwh,discharge_kwh,curtail_kwh,storage_kwh
2025-02-01,1,00:00,00:10,0.4248,422.0303667,470.1050235397209,508.98136902443105,1307.447143287487,1307.447143287487,1255.3637000333333,0.0,833.3333333333333,0.0,0.0,6750.0
2025-02-01,2,00:10,00:20,0.4245,415.4073167,473.5392550895227,507.76301924452264,1356.716655022856,1356.716655022856,1248.7406500333332,0.0,833.3333333333333,0.0,0.0,7500.0
2025-02-01,3,00:20,00:30,0.4269,410.7166667,481.804887275623,512.2969005273687,1345.630233860702,1345.630233860702,1244.0500000333332,0.0,833.3333333333333,0.0,0.0,8250.0
2025-02-01,4,00:30,00:40,0.4272,430.2948,474.9558248234597,509.3984522870894,1337.8617127933633,1337.8617127933633,1263.6281333333332,0.0,833.3333333333333,0.0,0.0,9000.0
2025-02-01,5,00:40,00:50,0.4271,424.4105833,485.0300099965774,510.85219395471296,1342.3610368628842,1342.3610368628842,1257.7439166333334,0.0,833.3333333333333,0.0,0.0,9750.0
2025-02-01,6,00:50,01:00,0.4285,406.0516667,489.67179703191596,537.3551808254584,499.37886148235293,499.37886148235293,406.0516667,0.0,0.0,0.0,0.0,9750.0
2025-02-01,7,01:00,01:10,0.4311,436.7501833,509.12908487273893,541.998023784956,520.1623972454497,520.1623972454497,436.7501833,0.0,0.0,0.0,0.0,9750.0
2025-02-01,8,01:10,01:20,0.4302,451.7976833,511.7536696940453,543.1420534318863,529.682559863764,529.682559863764,451.7976833,0.0,0.0,0.0,0.0,9750.0
2025-02-01,9,01:20,01:30,0.4279,446.08,492.3229185348099,554.1704928071885,887.5038261405218,887.5038261405218,779.4133333333333,0.0,333.3333333333333,0.0,0.0,10050.0
2025-02-01,10,01:30,01:40,0.4312,471.7663333,509.8827336784469,560.1225378709469,568.3705670284469,568.3705670284469,471.7663333,0.0,0.0,0.0,0.0,10050.0
2025-02-01,11,01:40,01:50,0.4333,448.0259667,518.9450061174147,557.8162082224147,554.0776645174147,554.0776645174147,448.0259667,0.0,0.0,0.0,0.0,10050.0
2025-02-01,12,01:50,02:00,0.4311,397.4033333,522.4437961817932,561.9652434319447,548.3733627610734,548.3733627610734,397.4033333,0.0,0.0,0.0,0.0,10050.0
2025-02-01,13,02:00,02:10,0.4293,434.0906333,519.1084958306004,548.3445855535266,563.6525708306004,563.6525708306004,434.0906333,0.0,0.0,0.0,0.0,10050.0
2025-02-01,14,02:10,02:20,0.4324,490.5609167,525.2569764700075,559.9272384450162,564.8319097700074,564.8319097700074,490.5609167,0.0,0.0,0.0,0.0,10050.0
2025-02-01,15,02:20,02:30,0.4367,503.22,529.3137921721603,551.1854488174463,523.6677000710298,523.6677000710298,503.22,0.0,0.0,0.0,0.0,10050.0
2025-02-01,16,02:30,02:40,0.4348,474.0728167,530.6386290968796,557.9137688248414,524.7991465242362,524.7991465242362,474.0728167,0.0,0.0,0.0,0.0,10050.0
2025-02-01,17,02:40,02:50,0.4335,461.3844,533.5017828491915,589.9481161797614,571.0641328491914,571.0641328491914,461.3844,0.0,0.0,0.0,0.0,10050.0
2025-02-01,18,02:50,03:00,0.4357,476.9416667,542.7813553195425,595.7982391567585,560.3944392969909,560.3944392969909,476.9416667,0.0,0.0,0.0,0.0,10050.0
