operating_date,interval_index,interval_start,interval_end,duration_hours,load_kw,pv_actual_kw,electricity_price_yuan_per_kwh,load_energy_kwh,pv_actual_energy_kwh,load_robust_outlier,pv_robust_outlier,price_robust_outlier,net_load_kw,net_load_energy_kwh,is_weekend,time_sin,time_cos,year_sin,year_cos,load_lag_10min_kw,load_lag_1h_kw,load_lag_1d_kw,pv_lag_1d_kw,price_lag_1d_yuan_per_kwh,load_rolling_1h_mean_kw,load_rolling_24h_mean_kw,pv_ramp_10min_kw,price_change_10min,load_kw_zscore,net_load_kw_zscore,electricity_price_yuan_per_kwh_zscore,pv_actual_kw_minmax,weekday_dow_0,weekday_dow_1,weekday_dow_2,weekday_dow_3,weekday_dow_4,weekday_dow_5,weekday_dow_6,season_autumn,season_spring,season_summer,season_winter
2025-02-01,1,2025-02-01 00:00:00,2025-02-01 00:10:00,0.1666666667,2532.1822,0,0.3281,422.0303667,0,False,False,False,2532.1822,422.0303667,1,0.04361938737,0.9990482216,0.5234156074,0.8520775211,2543.76,2453.2289,2646.1276,0,0.3606,2503.235033,3333.746666,0,0.0191,-1.512184642,-0.3420493383,-1.419245463,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,2,2025-02-01 00:10:00,2025-02-01 00:20:00,0.1666666667,2492.4439,0,0.3257,415.4073167,0,False,False,False,2492.4439,415.4073167,1,0.08715574275,0.9961946981,0.5234156074,0.8520775211,2532.1822,2442.3864,2855.5504,0,0.387,2516.393917,3332.955378,0,-0.0024,-1.539578828,-0.3645382419,-1.425653967,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,3,2025-02-01 00:20:00,2025-02-01 00:30:00,0.1666666667,2464.3,0,0.3041,410.7166667,0,False,False,False,2464.3,410.7166667,1,0.1305261922,0.9914448614,0.5234156074,0.8520775211,2492.4439,2407.21,2992.76,0,0.3913,2524.736833,3330.433806,0,-0.0216,-1.558980243,-0.3804655829,-1.483330506,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,4,2025-02-01 00:30:00,2025-02-01 00:40:00,0.1666666667,2581.7688,0,0.3126,430.2948,0,False,False,False,2581.7688,430.2948,1,0.1736481777,0.984807753,0.5234156074,0.8520775211,2464.3,2554.4855,2726.2465,0,0.3779,2534.251833,3326.763944,0,0.0085,-1.478001385,-0.3139870339,-1.46063372,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,5,2025-02-01 00:40:00,2025-02-01 00:50:00,0.1666666667,2546.4635,0,0.3286,424.4105833,0,False,False,False,2546.4635,424.4105833,1,0.2164396139,0.9762960071,0.5234156074,0.8520775211,2581.7688,2618.3394,2625.2224,0,0.3812,2538.79905,3325.760627,0,0.016,-1.502339617,-0.3339671913,-1.417910358,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,6,2025-02-01 00:50:00,2025-02-01 01:00:00,0.1666666667,2436.31,0,0.3438,406.0516667,0,False,False,False,2436.31,406.0516667,1,0.2588190451,0.9659258263,0.5234156074,0.8520775211,2546.4635,2543.76,2782.1,0,0.3882,2526.819733,3325.21369,0,0.0152,-1.578275564,-0.3963058281,-1.377323164,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,7,2025-02-01 01:00:00,2025-02-01 01:10:00,0.1666666667,2620.5011,0,0.3704,436.7501833,0,False,False,False,2620.5011,436.7501833,1,0.3007057995,0.9537169507,0.5234156074,0.8520775211,2436.31,2532.1822,2737.1989,0,0.3564,2508.9114,3322.812371,0,0.0266,-1.4513007,-0.2920674509,-1.306295574,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,8,2025-02-01 01:10:00,2025-02-01 01:20:00,0.1666666667,2710.7861,0,0.3746,451.7976833,0,False,False,False,2710.7861,451.7976833,1,0.3420201433,0.9396926208,0.5234156074,0.8520775211,2620.5011,2492.4439,2634.3706,0,0.3434,2523.631217,3322.001969,0,0.0042,-1.389061398,-0.2409728982,-1.295080691,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,9,2025-02-01 01:20:00,2025-02-01 01:30:00,0.1666666667,2676.48,0,0.3606,446.08,0,False,False,False,2676.48,446.08,1,0.3826834324,0.9238795325,0.5234156074,0.8520775211,2710.7861,2464.3,2702.62,0,0.3637,2560.021583,3322.532633,0,-0.014,-1.412710816,-0.2603875832,-1.332463633,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,10,2025-02-01 01:30:00,2025-02-01 01:40:00,0.1666666667,2830.598,0,0.3582,471.7663333,0,False,False,False,2830.598,471.7663333,1,0.4226182617,0.906307787,0.5234156074,0.8520775211,2676.48,2581.7688,2974.1159,0,0.3726,2595.384917,3322.351105,0,-0.0024,-1.306467289,-0.1731683299,-1.338872138,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,11,2025-02-01 01:40:00,2025-02-01 01:50:00,0.1666666667,2688.1558,0,0.3041,448.0259667,0,False,False,False,2688.1558,448.0259667,1,0.4617486132,0.8870108332,0.5234156074,0.8520775211,2830.598,2546.4635,3010.7318,0,0.3673,2636.85645,3321.354453,0,-0.0541,-1.40466193,-0.2537799543,-1.483330506,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,12,2025-02-01 01:50:00,2025-02-01 02:00:00,0.1666666667,2384.42,0,0.2537,397.4033333,0,False,False,False,2384.42,397.4033333,1,0.5,0.8660254038,0.5234156074,0.8520775211,2688.1558,2436.31,2785.16,0,0.3513,2660.471833,3319.114342,0,-0.0504,-1.614046704,-0.4256716845,-1.617909098,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,13,2025-02-01 02:00:00,2025-02-01 02:10:00,0.1666666667,2604.5438,0,0.3346,434.0906333,0,False,False,False,2604.5438,434.0906333,1,0.5372996083,0.8433914458,0.5234156074,0.8520775211,2384.42,2620.5011,2705.3167,0,0.3334,2651.8235,3316.331425,0,0.0809,-1.462301101,-0.3010980885,-1.401889097,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,14,2025-02-01 02:10:00,2025-02-01 02:20:00,0.1666666667,2943.3655,0,0.3971,490.5609167,0,False,False,False,2943.3655,490.5609167,1,0.5735764364,0.8191520443,0.5234156074,0.8520775211,2604.5438,2710.7861,2806.6425,0,0.3577,2649.16395,3315.631613,0,0.0625,-1.228729342,-0.1093503648,-1.235000963,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,15,2025-02-01 02:20:00,2025-02-01 02:30:00,0.1666666667,3019.32,0,0.367,503.22,0,False,False,False,3019.32,503.22,1,0.608761429,0.7933533403,0.5234156074,0.8520775211,2943.3655,2676.48,2956.75,0,0.4041,2687.927183,3316.581078,0,-0.0301,-1.176368982,-0.06636580249,-1.315374288,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,16,2025-02-01 02:30:00,2025-02-01 02:40:00,0.1666666667,2844.4369,0,0.3185,474.0728167,0,False,False,False,2844.4369,474.0728167,1,0.6427876097,0.7660444431,0.5234156074,0.8520775211,3019.32,2830.598,3015.4936,0,0.4069,2745.067183,3317.015592,0,-0.0485,-1.296927238,-0.1653365483,-1.44487948,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,17,2025-02-01 02:40:00,2025-02-01 02:50:00,0.1666666667,2768.3064,0,0.3285,461.3844,0,False,False,False,2768.3064,461.3844,1,0.6755902076,0.7372773368,0.5234156074,0.8520775211,2844.4369,2688.1558,3082.8054,0,0.4074,2747.373667,3315.827699,0,0.01,-1.349408927,-0.2084207134,-1.418177379,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,18,2025-02-01 02:50:00,2025-02-01 03:00:00,0.1666666667,2861.65,0,0.3772,476.9416667,0,False,False,False,2861.65,476.9416667,1,0.7071067812,0.7071067812,0.5234156074,0.8520775211,2768.3064,2384.42,3216.26,0,0.4289,2760.7321,3313.643678,0,0.0487,-1.285061133,-0.1555952219,-1.288138145,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,19,2025-02-01 03:00:00,2025-02-01 03:10:00,0.1666666667,2900.3973,0,0.3815,483.39955,0,False,False,False,2900.3973,483.39955,1,0.7372773368,0.6755902076,0.5234156074,0.8520775211,2861.65,2604.5438,3342.7105,0,0.4463,2840.270433,3311.181108,0,0.0043,-1.258350108,-0.1336671501,-1.276656241,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,20,2025-02-01 03:10:00,2025-02-01 03:20:00,0.1666666667,2919.6115,0,0.3822,486.6019167,0,False,False,False,2919.6115,486.6019167,1,0.7660444431,0.6427876097,0.5234156074,0.8520775211,2900.3973,2943.3655,3288.6358,0,0.4264,2889.57935,3308.109489,0,0.0007,-1.245104514,-0.122793351,-1.274787094,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,21,2025-02-01 03:20:00,2025-02-01 03:30:00,0.1666666667,2993.09,0,0.3962,498.8483333,0,False,False,False,2993.09,498.8483333,1,0.7933533403,0.608761429,0.5234156074,0.8520775211,2919.6115,3019.32,3083.49,0,0.396,2885.62035,3305.54682,0,0.014,-1.194451021,-0.08121001935,-1.237404152,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,22,2025-02-01 03:30:00,2025-02-01 03:40:00,0.1666666667,3109.8584,0,0.3879,518.3097333,0,False,False,False,3109.8584,518.3097333,1,0.8191520443,0.5735764364,0.5234156074,0.8520775211,2993.09,2844.4369,2957.0343,0,0.4131,2881.248683,3304.919042,0,-0.0083,-1.113954995,-0.01512784429,-1.259566896,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,23,2025-02-01 03:40:00,2025-02-01 03:50:00,0.1666666667,3054.8008,0,0.3405,509.1334667,0,False,False,False,3054.8008,509.1334667,1,0.8433914458,0.5372996083,0.5234156074,0.8520775211,3109.8584,2768.3064,3026.727,0,0.4199,2925.4856,3305.980321,0,-0.0474,-1.151909767,-0.04628632519,-1.386134857,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,24,2025-02-01 03:50:00,2025-02-01 04:00:00,0.1666666667,2901.7,0,0.3164,483.6166667,0,False,False,False,2901.7,483.6166667,1,0.8660254038,0.5,0.5234156074,0.8520775211,3054.8008,2861.65,3247.77,0,0.4068,2973.234667,3306.175278,0,-0.0241,-1.257452072,-0.1329299194,-1.450486922,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,25,2025-02-01 04:00:00,2025-02-01 04:10:00,0.1666666667,2947.1208,0,0.3916,491.1868,0,False,False,False,2947.1208,491.1868,1,0.8870108332,0.4617486132,0.5234156074,0.8520775211,2901.7,2900.3973,3430.0944,0,0.4173,2979.909667,3303.772014,0,0.0752,-1.226140571,-0.1072251461,-1.249687119,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,26,2025-02-01 04:10:00,2025-02-01 04:20:00,0.1666666667,3027.8717,0,0.4109,504.6452833,0,False,False,False,3027.8717,504.6452833,1,0.906307787,0.4226182617,0.5234156074,0.8520775211,2947.1208,2919.6115,3345.1988,0,0.3967,2987.696917,3300.418031,0,0.0193,-1.170473741,-0.06152618033,-1.198152063,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,27,2025-02-01 04:20:00,2025-02-01 04:30:00,0.1666666667,3033.47,0,0.361,505.5783333,0,False,False,False,3033.47,505.5783333,1,0.9238795325,0.3826834324,0.5234156074,0.8520775211,3027.8717,2993.09,3118.16,0,0.3628,3005.740283,3298.21437,0,-0.0499,-1.16661447,-0.05835796152,-1.331395549,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,28,2025-02-01 04:30:00,2025-02-01 04:40:00,0.1666666667,3019.3858,0,0.3799,503.2309667,0,False,False,False,3019.3858,503.2309667,1,0.9396926208,0.3420201433,0.5234156074,0.8520775211,3033.47,3109.8584,3096.1014,0,0.3948,3012.470283,3297.626245,0,0.0189,-1.176323622,-0.06632856461,-1.280928577,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,29,2025-02-01 04:40:00,2025-02-01 04:50:00,0.1666666667,3017.0819,0.0014,0.4094,502.8469833,0.0002333333333,False,False,False,3017.0805,502.84675,1,0.9537169507,0.3007057995,0.5234156074,0.8520775211,3019.3858,3054.8008,3081.2197,0.0017,0.4256,2997.391517,3297.093498,0.0014,0.0295,-1.17791185,-0.06763319188,-1.202157378,1.955546243e-07,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,30,2025-02-01 04:50:00,2025-02-01 05:00:00,0.1666666667,2997.85,0,0.4052,499.6416667,0,False,False,False,2997.85,499.6416667,1,0.9659258263,0.2588190451,0.5234156074,0.8520775211,3017.0819,2901.7,3050.39,0,0.4232,2991.105033,3296.648097,-0.0014,-0.0042,-1.191169645,-0.0785162156,-1.213372261,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,31,2025-02-01 05:00:00,2025-02-01 05:10:00,0.1666666667,2932.7015,0,0.3896,488.7835833,0,False,False,False,2932.7015,488.7835833,1,0.9762960071,0.2164396139,0.5234156074,0.8520775211,2997.85,2947.1208,3211.4128,0,0.4181,3007.130033,3296.283235,0,-0.0156,-1.236080729,-0.1153853907,-1.255027539,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,32,2025-02-01 05:10:00,2025-02-01 05:20:00,0.1666666667,2991.1125,0.0199,0.3908,498.51875,0.003316666667,False,False,False,2991.0926,498.5154333,1,0.984807753,0.1736481777,0.5234156074,0.8520775211,2932.7015,3027.8717,3436.1829,0.0238,0.4022,3004.726817,3294.34774,0.0199,0.0012,-1.19581424,-0.08234039826,-1.251823287,2.779669303e-06,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,33,2025-02-01 05:20:00,2025-02-01 05:30:00,0.1666666667,3175.34,0,0.3821,529.2233333,0,False,False,False,3175.34,529.2233333,1,0.9914448614,0.1305261922,0.5234156074,0.8520775211,2991.1125,3033.47,3507.69,0,0.3729,2998.600283,3291.256974,-0.0199,-0.0087,-1.068814284,0.02192984045,-1.275054115,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,34,2025-02-01 05:30:00,2025-02-01 05:40:00,0.1666666667,3284.4619,0,0.3475,547.4103167,0,False,False,False,3284.4619,547.4103167,1,0.9961946981,0.08715574275,0.5234156074,0.8520775211,3175.34,3019.3858,3311.7729,0,0.369,3022.245283,3288.948987,0,-0.0346,-0.9935894851,0.08368466881,-1.367443386,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,35,2025-02-01 05:40:00,2025-02-01 05:50:00,0.1666666667,3187.3644,0.2774,0.5182,531.2274,0.04623333333,False,False,False,3187.087,531.1811667,1,0.9990482216,0.04361938737,0.5234156074,0.8520775211,3284.4619,3017.0819,3142.9083,0.3316,0.5221,3066.424633,3288.759328,0.2774,0.1707,-1.060525085,0.02857776327,-0.9116385147,3.874775199e-05,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,36,2025-02-01 05:50:00,2025-02-01 06:00:00,0.1666666667,3065.9,0,0.8102,510.9833333,0,False,False,False,3065.9,510.9833333,1,1,6.123233996e-17,0.5234156074,0.8520775211,3187.3644,2997.85,3201.44,0,0.7593,3094.80505,3289.068051,-0.2774,0.292,-1.144258369,-0.04000500869,-0.1319371528,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,37,2025-02-01 06:00:00,2025-02-01 06:10:00,0.1666666667,3211.1231,0,0.8756,535.1871833,0,False,False,False,3211.1231,535.1871833,1,0.9990482216,-0.04361938737,0.5234156074,0.8520775211,3065.9,2932.7015,3424.7698,0,0.8569,3106.146717,3288.126801,0,0.0654,-1.044146674,0.04218039693,0.04269459054,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,38,2025-02-01 06:10:00,2025-02-01 06:20:00,0.1666666667,3203.9961,3.8641,0.818,533.99935,0.6440166667,False,False,False,3200.132,533.3553333,1,0.9961946981,-0.08715574275,0.5234156074,0.8520775211,3211.1231,2991.1125,3498.7079,4.6183,0.8906,3152.550317,3286.643143,3.8641,-0.0576,-1.049059777,0.03596025694,-0.1111095137,0.0005397447314,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,39,2025-02-01 06:20:00,2025-02-01 06:30:00,0.1666666667,3027.12,0,0.7708,504.52,0,False,False,False,3027.12,504.52,1,0.9914448614,-0.1305261922,0.5234156074,0.8520775211,3203.9961,3175.34,3388.26,0,0.9056,3188.030917,3284.596533,-3.8641,-0.0472,-1.170991937,-0.06195158627,-0.2371434325,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,40,2025-02-01 06:30:00,2025-02-01 06:40:00,0.1666666667,3117.3221,0,0.7715,519.5536833,0,False,False,False,3117.3221,519.5536833,1,0.984807753,-0.1736481777,0.5234156074,0.8520775211,3027.12,3284.4619,3366.8188,0,0.8653,3163.327583,3282.088617,0,0.0007,-1.108809783,-0.01090394869,-0.2352742854,0,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,41,2025-02-01 06:40:00,2025-02-01 06:50:00,0.1666666667,3398.49,89.6095,0.8181,566.415,14.93491667,False,False,False,3308.8805,551.4800833,1,0.9762960071,-0.2164396139,0.5234156074,0.8520775211,3117.3221,3187.3644,3572.0744,79.5551,0.8326,3135.47095,3280.356001,89.6095,0.0466,-0.9149825249,0.09750376884,-0.1108424927,0.01251682294,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,42,2025-02-01 06:50:00,2025-02-01 07:00:00,0.1666666667,3652.75,340.5,0.8678,608.7916667,56.75,False,False,False,3312.25,552.0416667,1,0.9659258263,-0.2588190451,0.5234156074,0.8520775211,3398.49,3065.9,3887.78,335.625,0.8381,3170.65855,3279.150553,250.8905,0.0497,-0.7397046267,0.09941065365,0.02186695142,0.04756167828,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,43,2025-02-01 07:00:00,2025-02-01 07:10:00,0.1666666667,3703.2843,615.936,0.864,617.21405,102.656,False,False,False,3087.3483,514.55805,1,0.9537169507,-0.3007057995,0.5234156074,0.8520775211,3652.75,3211.1231,4033.4899,619.8809,0.8552,3268.466883,3277.518401,275.436,-0.0038,-0.7048680583,-0.02786687615,0.01172015288,0.08603509507,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,44,2025-02-01 07:10:00,2025-02-01 07:20:00,0.1666666667,3572.3788,884.9275,0.8237,595.3964667,147.4879167,False,False,False,2687.4513,447.90855,1,0.9396926208,-0.3420201433,0.5234156074,0.8520775211,3703.2843,3203.9961,3945.9216,902.7758,0.8641,3350.49375,3275.225306,268.9915,-0.0403,-0.7951097042,-0.2541786485,-0.0958893159,0.123608332,0,0,0,0,0,1,0,0,0,0,1
2025-02-01,45,2025-02-01 07:20:00,2025-02-01 07:30:00,0.1666666667,3477.22,1140.675,0.7654,579.5366667,190.1125,False,False,False,2336.545,389.4241667,1,0.9238795325,-0.3826834324,0.5234156074,0.8520775211,3572.3788,3027.12,3819.92,1182.15,0.8264,3411.890867,3272.631259,255.7475,-0.0583,-0.8607088329,-0.4527653513,-0.2515625672,0.1593316222,0,0,0,0,0,1,0,0,0,0,1
